TransactionId,Amount,HourOfDay,MerchantCategory,Location,TransactionType,HistoricalAvgAmount,NumTransactionsLast24h,IsFraud
109,118.55,0,Travel,WA,In-Store,83.42,0,1
110,112.97,22,Travel,CA,In-Store,104.56,8,0
111,107.75,19,Travel,NY,In-Store,133.70,5,0
112,190.13,4,Restaurants,NY,Online,278.54,6,0
113,707.95,8,Electronics,WA,In-Store,990.46,5,0
114,125.01,3,Clothing,WA,Online,109.04,1,1
115,137.61,1,Grocery,TX,In-Store,103.63,9,0
116,187.98,19,Travel,FL,In-Store,137.20,8,0
117,35.91,22,Grocery,NY,Online,23.04,8,0
118,165.05,5,Clothing,IL,In-Store,227.67,9,0
119,28.30,19,Clothing,NY,In-Store,41.22,9,0
120,157.88,4,Electronics,NY,Online,82.18,1,0
121,26.06,2,Restaurants,NY,In-Store,38.44,4,1
122,131.74,14,Travel,NY,In-Store,119.31,0,0
123,87.64,9,Grocery,NY,Online,54.60,3,1
124,143.23,17,Grocery,TX,Online,107.62,7,0
125,88.88,21,Electronics,TX,In-Store,114.79,2,0
126,134.23,17,Gas,IL,Online,93.57,5,0
127,67.41,12,Travel,FL,In-Store,59.06,2,0
128,81.47,5,Grocery,FL,Online,53.54,9,0
129,5.49,5,Gas,CA,In-Store,7.02,4,0
130,2773.05,16,Travel,IL,Online,3921.89,6,0
131,101.58,5,Travel,CA,In-Store,89.82,7,1
132,113.53,10,Restaurants,IL,Online,76.02,4,0
133,110.36,16,Grocery,NY,Online,158.12,2,0
134,142.72,10,Grocery,IL,In-Store,113.63,4,0
135,156.41,0,Travel,WA,Online,172.51,8,1
136,198.17,2,Electronics,IL,Online,254.39,3,0
137,34.93,20,Travel,WA,In-Store,50.78,6,0
138,146.06,16,Travel,CA,Online,182.90,3,1
139,46.55,23,Restaurants,FL,Online,33.68,9,0
140,156.43,22,Grocery,CA,Online,197.74,1,1
141,159.07,8,Grocery,NY,Online,81.02,8,0
142,66.35,6,Gas,FL,Online,50.96,5,0
143,175.42,19,Restaurants,IL,Online,134.89,1,0
144,27.62,4,Clothing,NY,Online,20.58,9,0
145,149.66,14,Gas,FL,In-Store,195.09,8,0
146,2791.53,14,Gas,IL,In-Store,3871.79,5,1
147,1064.29,17,Gas,WA,In-Store,765.81,2,0
148,9.94,12,Restaurants,IL,In-Store,8.24,1,0
149,194.75,20,Travel,CA,In-Store,123.71,3,0
150,168.78,20,Electronics,FL,In-Store,223.65,5,0
151,96.13,19,Gas,TX,In-Store,139.44,7,0
152,107.19,20,Electronics,TX,Online,135.99,5,1
153,54.35,3,Travel,IL,In-Store,44.84,3,0
154,18.48,14,Restaurants,IL,Online,11.41,8,0
155,63.92,15,Electronics,WA,Online,64.34,5,1
156,139.79,0,Clothing,TX,In-Store,174.23,5,0
157,51.81,1,Electronics,TX,Online,69.57,8,0
158,140.98,13,Gas,CA,In-Store,206.07,4,0
159,766.37,16,Clothing,NY,In-Store,863.00,8,0
160,122.61,14,Gas,CA,In-Store,166.55,2,0
161,28.16,13,Clothing,NY,In-Store,36.66,6,0
162,4.17,11,Restaurants,WA,In-Store,2.95,5,0
163,112.93,23,Restaurants,IL,Online,69.63,2,1
164,17.65,9,Travel,CA,Online,19.82,3,0
165,194.88,3,Grocery,FL,Online,130.35,6,1
166,52.73,10,Travel,FL,In-Store,54.24,2,0
167,73.03,1,Electronics,CA,In-Store,40.36,7,0
168,11.07,1,Electronics,WA,In-Store,7.44,2,0
169,11.80,11,Restaurants,TX,Online,15.65,8,1
170,11.81,13,Gas,TX,Online,6.99,2,0
171,80.62,7,Electronics,NY,In-Store,40.59,1,0
172,74.01,4,Gas,IL,Online,89.16,4,0
173,135.62,3,Travel,TX,Online,159.12,9,0
174,183.58,16,Grocery,NY,In-Store,263.47,7,0
175,131.32,7,Restaurants,TX,Online,150.35,4,0
176,189.79,7,Electronics,NY,In-Store,121.42,4,0
177,115.31,4,Travel,FL,Online,94.63,0,0
178,170.32,23,Restaurants,IL,Online,224.76,0,0
179,113.12,8,Travel,CA,Online,131.82,7,0
180,51.62,7,Gas,WA,In-Store,38.25,3,0
181,71.41,1,Electronics,CA,Online,71.70,7,1
182,163.02,11,Electronics,TX,In-Store,114.32,5,0
183,6.71,5,Electronics,CA,In-Store,6.14,0,1
184,96.60,9,Electronics,CA,Online,120.54,4,0
185,132.87,19,Travel,TX,Online,183.59,8,0
186,41.57,9,Electronics,FL,Online,35.93,2,0
187,8.48,15,Grocery,IL,Online,4.88,0,0
188,144.53,1,Grocery,FL,In-Store,179.27,5,1
189,100.34,8,Gas,CA,Online,109.56,2,1
190,189.06,14,Grocery,WA,Online,247.03,7,0
191,120.14,13,Restaurants,WA,Online,155.80,1,0
192,55.38,9,Restaurants,FL,In-Store,34.14,8,0
193,64.24,20,Electronics,FL,In-Store,37.98,1,0
194,16.45,14,Travel,CA,In-Store,18.10,1,0
195,131.51,5,Travel,WA,Online,67.50,3,1
196,145.36,13,Restaurants,WA,Online,217.08,4,0
197,83.61,23,Travel,FL,In-Store,82.12,7,0
198,138.95,23,Restaurants,WA,Online,205.16,4,0
199,181.98,7,Gas,CA,Online,194.51,3,0
200,59.68,16,Restaurants,WA,In-Store,55.55,1,0
201,9.62,8,Clothing,FL,Online,10.86,3,0
202,9.25,12,Grocery,FL,In-Store,5.32,0,0
203,22.14,0,Gas,TX,Online,12.29,1,1
204,166.15,9,Electronics,NY,In-Store,183.18,9,0
205,123.80,19,Grocery,NY,In-Store,93.11,5,0
206,30.47,20,Electronics,TX,In-Store,32.85,3,0
207,168.83,6,Electronics,TX,Online,87.95,7,1
208,121.70,2,Gas,FL,In-Store,149.56,4,0
209,1834.56,0,Clothing,WA,In-Store,2573.51,0,1
210,129.97,12,Restaurants,IL,Online,163.55,6,0
211,1616.90,1,Electronics,IL,In-Store,1974.35,0,1
212,132.30,10,Grocery,CA,Online,102.29,9,0
213,167.55,4,Restaurants,CA,In-Store,108.60,5,1
214,26.99,14,Gas,NY,Online,14.42,6,0
215,0.85,5,Travel,NY,In-Store,1.00,3,1
216,39.56,6,Clothing,FL,Online,57.00,7,1
217,43.25,4,Clothing,NY,Online,45.04,5,0
218,150.79,2,Electronics,NY,In-Store,143.36,2,0
219,836.36,6,Travel,WA,Online,1213.05,9,0
220,145.49,6,Gas,CA,Online,191.77,0,0
221,123.18,0,Electronics,FL,Online,161.44,4,1
222,196.48,15,Travel,CA,In-Store,170.26,7,0
223,186.29,5,Travel,CA,Online,226.82,8,0
224,99.50,18,Grocery,CA,In-Store,133.14,6,0
225,111.55,15,Grocery,NY,In-Store,95.04,9,0
226,32.19,13,Restaurants,TX,In-Store,25.55,8,0
227,77.71,22,Gas,FL,In-Store,55.79,3,0
228,64.93,9,Grocery,NY,In-Store,47.81,8,0
229,36.91,10,Gas,FL,Online,51.77,5,1
230,74.75,15,Electronics,IL,Online,111.99,4,0
231,109.11,3,Travel,WA,In-Store,73.61,0,1
232,2146.94,23,Electronics,FL,Online,1307.99,0,1
233,139.04,16,Travel,NY,In-Store,186.90,3,0
234,15.73,2,Grocery,IL,In-Store,18.74,0,0
235,46.62,14,Restaurants,FL,Online,67.49,5,0
236,77.16,23,Gas,IL,Online,109.07,7,0
237,169.62,2,Electronics,NY,Online,161.47,9,0
238,168.51,23,Clothing,FL,In-Store,175.42,8,1
239,93.78,13,Restaurants,WA,Online,64.81,4,0
240,146.39,11,Travel,CA,In-Store,184.25,8,0
241,163.92,20,Grocery,NY,In-Store,124.35,1,0
242,194.98,8,Electronics,IL,Online,184.20,5,0
243,65.94,15,Grocery,FL,In-Store,80.45,6,0
244,190.45,1,Restaurants,IL,In-Store,232.62,9,0
245,63.48,22,Electronics,IL,In-Store,78.58,4,0
246,76.69,16,Travel,IL,Online,73.43,5,0
247,37.82,5,Clothing,TX,In-Store,49.40,1,1
248,76.99,6,Gas,FL,In-Store,95.12,1,0
249,69.05,6,Gas,TX,Online,40.24,3,0
250,155.10,20,Gas,NY,Online,174.79,5,1
251,13.81,18,Travel,TX,In-Store,17.88,3,0
252,82.14,13,Travel,NY,In-Store,112.43,1,0
253,141.65,9,Grocery,CA,Online,125.78,0,1
254,33.07,5,Grocery,NY,In-Store,37.44,6,1
255,141.04,14,Restaurants,NY,Online,87.03,6,0
256,1.69,0,Electronics,WA,Online,2.23,9,1
257,162.33,14,Gas,FL,Online,179.24,6,0
258,158.20,12,Restaurants,CA,Online,150.86,1,0
259,165.37,8,Clothing,WA,In-Store,134.30,3,0
260,4.37,18,Electronics,CA,Online,5.77,8,0
261,119.19,17,Electronics,NY,Online,100.45,3,0
262,35.59,16,Restaurants,IL,In-Store,27.68,9,0
263,160.07,0,Travel,TX,Online,130.41,5,0
264,181.67,5,Electronics,IL,Online,226.06,8,1
265,5.20,1,Travel,WA,In-Store,4.55,1,0
266,81.40,5,Grocery,WA,Online,70.16,0,1
267,137.74,12,Restaurants,WA,Online,169.08,4,0
268,8.94,15,Electronics,WA,In-Store,8.83,2,0
269,155.86,11,Clothing,FL,Online,120.88,9,1
270,87.61,15,Grocery,WA,In-Store,48.55,0,0
271,139.76,18,Restaurants,CA,In-Store,196.71,3,0
272,58.17,14,Clothing,FL,In-Store,78.08,5,0
273,173.67,0,Electronics,CA,In-Store,138.80,2,0
274,2712.34,22,Electronics,IL,In-Store,3497.03,7,0
275,32.34,22,Clothing,CA,Online,48.02,8,0
276,20.15,23,Electronics,TX,In-Store,13.82,7,1
277,98.59,18,Electronics,WA,In-Store,130.26,3,0
278,73.49,19,Gas,IL,In-Store,54.49,4,0
279,190.17,18,Electronics,CA,Online,240.04,1,0
280,21.57,12,Clothing,NY,Online,20.69,2,0
281,163.33,15,Travel,FL,In-Store,187.94,6,0
282,142.69,9,Grocery,WA,In-Store,207.89,2,0
283,85.01,0,Restaurants,FL,In-Store,88.15,7,0
284,171.30,19,Gas,CA,In-Store,170.12,4,0
285,190.33,6,Gas,FL,In-Store,138.77,0,0
286,1.64,21,Restaurants,TX,In-Store,1.20,0,0
287,82.67,6,Travel,TX,In-Store,81.68,7,0
288,28.14,4,Travel,FL,In-Store,24.70,0,1
289,111.46,18,Clothing,TX,In-Store,166.27,5,0
290,112.27,13,Travel,FL,Online,116.57,0,1
291,58.08,12,Clothing,CA,In-Store,29.60,0,1
292,114.52,12,Clothing,CA,Online,122.14,6,0
293,2489.24,18,Travel,WA,Online,3551.55,5,1
294,33.22,0,Clothing,TX,Online,19.51,9,0
295,39.54,1,Clothing,CA,Online,36.35,3,1
296,34.09,4,Clothing,WA,In-Store,28.93,0,0
297,102.12,15,Grocery,TX,Online,150.06,9,0
298,112.79,1,Grocery,NY,Online,151.78,4,1
299,26.12,12,Clothing,TX,In-Store,17.17,7,0
300,173.67,13,Electronics,WA,Online,240.61,5,0
301,18.38,20,Gas,TX,Online,22.78,8,0
302,8.84,23,Gas,FL,Online,9.83,2,1
303,177.03,17,Grocery,WA,In-Store,234.19,1,0
304,18.68,19,Gas,CA,In-Store,22.75,7,0
305,55.02,4,Grocery,FL,In-Store,76.89,1,0
306,81.11,4,Electronics,FL,In-Store,116.11,0,0
307,9.49,4,Electronics,NY,Online,6.74,6,0
308,163.26,20,Clothing,WA,In-Store,243.91,3,0
309,54.67,12,Grocery,CA,In-Store,79.86,4,0
310,193.75,16,Grocery,IL,Online,114.28,6,0
311,910.02,20,Travel,WA,Online,528.81,7,0
312,186.44,9,Electronics,CA,In-Store,215.93,2,0
313,190.91,8,Electronics,FL,Online,141.56,7,0
314,158.91,15,Clothing,CA,Online,205.49,2,0
315,82.48,12,Grocery,NY,Online,52.04,4,0
316,116.37,9,Electronics,NY,In-Store,77.50,7,0
317,169.75,16,Clothing,IL,Online,122.20,2,1
318,37.60,21,Clothing,TX,Online,27.26,2,0
319,79.27,14,Electronics,NY,Online,91.41,6,1
320,94.91,12,Gas,CA,In-Store,142.01,9,0
321,186.20,2,Electronics,IL,In-Store,270.73,9,0
322,172.25,5,Clothing,WA,In-Store,171.54,7,0
323,84.35,15,Restaurants,IL,Online,52.79,7,0
324,117.01,7,Electronics,TX,Online,117.07,2,0
325,69.51,3,Gas,CA,Online,46.56,7,1
326,170.20,16,Gas,CA,Online,224.26,5,0
327,172.82,3,Grocery,CA,Online,120.16,3,1
328,121.08,20,Gas,WA,In-Store,126.00,1,0
329,126.77,5,Clothing,TX,Online,139.08,2,0
330,194.80,7,Travel,TX,In-Store,118.15,6,0
331,33.57,21,Grocery,FL,In-Store,41.93,5,0
332,115.64,5,Grocery,NY,Online,146.68,1,0
333,24.45,22,Grocery,TX,In-Store,22.16,2,0
334,27.52,2,Grocery,FL,Online,32.84,3,0
335,154.01,2,Electronics,IL,In-Store,201.05,0,1
336,83.25,17,Electronics,NY,Online,114.97,9,0
337,7.68,19,Grocery,IL,Online,7.48,6,0
338,21.52,10,Travel,TX,In-Store,14.39,9,0
339,160.05,17,Grocery,CA,Online,194.61,9,0
340,149.19,14,Gas,CA,In-Store,76.47,6,0
341,16.40,20,Gas,IL,Online,8.45,6,0
342,152.72,14,Travel,NY,Online,174.29,0,1
343,102.86,18,Clothing,CA,In-Store,56.98,7,0
344,46.94,7,Gas,WA,In-Store,45.38,0,0
345,168.68,14,Grocery,FL,In-Store,244.98,5,0
346,158.91,11,Electronics,NY,In-Store,158.64,6,0
347,149.44,3,Gas,NY,Online,191.40,4,1
348,2.49,21,Clothing,NY,In-Store,3.38,0,0
349,179.14,3,Clothing,TX,Online,154.54,9,0
350,148.73,5,Electronics,TX,Online,208.59,3,0
351,125.89,21,Electronics,CA,Online,158.03,9,1
352,157.50,18,Restaurants,CA,Online,135.80,6,0
353,83.99,3,Grocery,TX,Online,75.90,0,1
354,196.62,23,Travel,FL,In-Store,123.80,2,0
355,49.05,16,Travel,FL,Online,25.12,5,0
356,35.03,18,Grocery,WA,In-Store,27.15,4,0
357,122.50,23,Gas,WA,Online,168.78,7,1
358,30.81,17,Grocery,TX,Online,25.43,1,0
359,13.11,17,Gas,NY,In-Store,13.61,2,0
360,108.97,21,Grocery,FL,Online,129.44,5,0
361,154.08,18,Clothing,NY,In-Store,113.14,8,0
362,179.24,15,Restaurants,IL,In-Store,252.41,2,0
363,49.93,14,Electronics,CA,In-Store,41.20,3,0
364,51.16,6,Restaurants,TX,In-Store,50.34,5,0
365,39.25,9,Travel,FL,Online,23.55,6,1
366,48.18,0,Grocery,CA,Online,28.23,4,0
367,6.75,6,Grocery,NY,In-Store,9.58,9,0
368,78.81,15,Gas,CA,Online,50.07,7,0
369,123.81,8,Clothing,NY,In-Store,119.75,0,0
370,186.53,21,Travel,FL,In-Store,150.99,4,0
371,66.60,11,Restaurants,WA,In-Store,57.63,7,0
372,104.21,16,Gas,NY,Online,136.83,4,1
373,59.17,11,Gas,IL,Online,46.62,9,0
374,180.68,17,Restaurants,TX,In-Store,144.55,8,0
375,19.49,10,Gas,NY,Online,13.57,9,0
376,150.59,2,Clothing,NY,Online,214.65,0,0
377,94.41,9,Clothing,TX,In-Store,109.49,4,0
378,129.09,3,Travel,TX,Online,168.93,7,0
379,126.10,12,Grocery,FL,In-Store,125.61,5,0
380,156.79,10,Restaurants,IL,Online,216.77,8,1
381,56.08,14,Clothing,NY,In-Store,38.69,5,0
382,78.20,18,Travel,FL,Online,83.87,2,0
383,62.21,2,Restaurants,WA,In-Store,41.93,8,0
384,147.91,3,Gas,NY,In-Store,77.78,5,1
385,180.70,7,Travel,WA,In-Store,207.06,1,0
386,6.24,20,Grocery,NY,Online,8.35,5,0
387,18.66,16,Gas,CA,Online,20.99,4,0
388,190.77,16,Grocery,WA,Online,147.96,6,1
389,45.37,10,Grocery,NY,In-Store,26.31,1,0
390,21.83,21,Gas,WA,In-Store,13.85,9,0
391,78.39,21,Grocery,CA,Online,71.54,6,0
392,10.91,1,Gas,IL,Online,8.84,6,1
393,9.82,15,Gas,IL,Online,8.03,5,0
394,129.04,16,Electronics,NY,In-Store,88.73,8,0
395,50.25,1,Travel,IL,Online,43.47,0,1
396,182.34,19,Restaurants,TX,Online,149.86,0,0
397,53.50,10,Gas,IL,In-Store,62.40,7,0
398,162.46,20,Grocery,FL,In-Store,223.91,0,0
399,24.68,6,Electronics,TX,In-Store,34.17,4,0
400,199.77,21,Clothing,WA,In-Store,290.77,9,0
401,16.84,11,Electronics,CA,In-Store,23.26,5,0
402,79.61,17,Travel,FL,Online,112.94,1,0
403,140.64,2,Gas,WA,Online,154.80,6,0
404,109.73,0,Travel,CA,In-Store,123.21,7,0
405,183.64,19,Electronics,TX,In-Store,185.47,4,0
406,93.59,12,Restaurants,TX,In-Store,135.51,2,0
407,43.41,16,Electronics,IL,In-Store,35.58,3,0
408,27.85,14,Grocery,CA,In-Store,35.80,0,0
409,32.42,12,Electronics,CA,Online,37.93,1,0
410,20.76,0,Clothing,WA,In-Store,25.07,4,0
411,172.18,4,Electronics,WA,Online,227.36,3,1
412,8.57,21,Gas,IL,Online,6.93,7,0
413,155.84,7,Restaurants,FL,Online,111.53,3,1
414,157.49,15,Clothing,WA,Online,224.34,2,1
415,190.85,9,Clothing,WA,Online,215.17,7,0
416,82.61,14,Grocery,CA,Online,61.93,3,0
417,108.54,15,Grocery,IL,In-Store,137.27,5,0
418,76.71,0,Clothing,WA,Online,48.15,8,1
419,9.93,2,Travel,WA,In-Store,9.07,8,1
420,90.37,6,Restaurants,NY,Online,122.75,3,1
421,110.96,14,Restaurants,FL,Online,143.60,2,0
422,124.69,8,Clothing,WA,Online,136.02,2,0
423,71.83,7,Gas,IL,In-Store,81.71,3,0
424,52.40,23,Restaurants,TX,Online,31.43,5,1
425,172.97,1,Gas,CA,In-Store,122.11,7,0
426,2641.82,21,Grocery,WA,In-Store,2639.45,8,0
427,152.13,15,Grocery,CA,Online,157.03,4,0
428,9.64,21,Clothing,TX,Online,11.81,7,0
429,113.21,16,Restaurants,WA,Online,156.44,3,1
430,69.95,2,Travel,NY,In-Store,60.28,8,0
431,46.66,18,Electronics,FL,Online,50.14,7,1
432,170.63,11,Restaurants,CA,Online,94.06,9,0
433,12.81,4,Clothing,NY,In-Store,12.50,1,0
434,104.87,13,Electronics,WA,In-Store,99.04,4,0
435,186.15,17,Clothing,NY,Online,100.51,0,0
436,103.92,12,Grocery,IL,Online,72.52,2,0
437,148.79,6,Gas,IL,Online,152.59,0,0
438,127.04,16,Travel,NY,In-Store,151.08,1,0
439,146.05,3,Travel,TX,Online,123.23,9,1
440,31.48,9,Clothing,NY,In-Store,43.76,7,0
441,27.03,10,Electronics,WA,In-Store,31.19,4,0
442,193.27,16,Gas,CA,In-Store,172.29,4,0
443,96.18,11,Electronics,TX,In-Store,56.25,3,0
444,23.85,12,Travel,NY,Online,14.89,5,0
445,50.15,15,Electronics,CA,In-Store,58.48,3,0
446,141.09,4,Gas,NY,In-Store,207.52,4,0
447,37.53,17,Restaurants,NY,In-Store,34.62,5,0
448,178.92,11,Electronics,FL,In-Store,217.73,1,0
449,17.55,10,Restaurants,FL,Online,17.19,3,0
450,71.66,1,Travel,NY,In-Store,69.89,9,0
451,41.01,7,Grocery,IL,In-Store,49.11,7,0
452,180.77,19,Clothing,NY,In-Store,200.52,8,0
453,99.12,11,Gas,NY,In-Store,114.10,0,0
454,41.80,22,Gas,IL,In-Store,28.59,5,0
455,1668.29,15,Gas,IL,In-Store,1794.67,9,1
456,189.48,2,Clothing,NY,In-Store,280.38,2,1
457,99.83,13,Clothing,IL,In-Store,98.69,8,0
458,14.32,3,Electronics,FL,In-Store,20.81,8,0
459,169.18,17,Grocery,TX,In-Store,176.90,1,0
460,23.25,19,Electronics,IL,Online,13.01,0,0
461,22.02,19,Grocery,CA,In-Store,15.14,5,0
462,187.83,19,Restaurants,TX,Online,267.72,1,0
463,78.43,3,Gas,WA,In-Store,102.84,3,1
464,127.49,19,Gas,CA,In-Store,154.14,8,0
465,161.58,12,Gas,WA,In-Store,165.68,6,0
466,198.13,5,Restaurants,TX,In-Store,294.41,6,0
467,134.14,19,Electronics,CA,In-Store,160.33,5,0
468,97.84,13,Electronics,WA,In-Store,61.43,1,0
469,178.15,13,Grocery,CA,Online,124.10,8,0
470,197.11,9,Grocery,IL,Online,280.59,0,0
471,71.83,14,Restaurants,NY,Online,54.69,0,0
472,168.53,16,Gas,TX,Online,147.33,0,1
473,5.83,5,Restaurants,NY,Online,3.65,7,1
474,64.67,9,Grocery,TX,In-Store,38.54,7,0
475,138.73,10,Electronics,WA,Online,180.60,3,1
476,31.56,17,Grocery,IL,In-Store,28.40,8,0
477,46.30,14,Electronics,TX,Online,65.16,9,0
478,8.93,6,Travel,FL,In-Store,11.01,6,0
479,132.24,15,Grocery,IL,In-Store,97.46,9,0
480,135.58,14,Gas,FL,In-Store,110.25,8,0
481,187.34,21,Grocery,CA,In-Store,180.95,7,0
482,176.54,16,Grocery,TX,Online,250.27,7,1
483,175.52,0,Travel,WA,Online,89.27,2,0
484,18.82,3,Gas,FL,In-Store,21.15,7,1
485,176.13,11,Gas,FL,Online,104.80,3,0
486,140.52,18,Restaurants,IL,In-Store,128.92,4,0
487,1633.23,10,Grocery,NY,Online,1423.90,4,1
488,23.52,23,Restaurants,FL,In-Store,12.63,0,0
489,37.58,23,Gas,FL,In-Store,30.30,6,1
490,117.30,5,Clothing,NY,Online,133.19,7,0
491,92.50,9,Restaurants,CA,In-Store,107.75,2,0
492,535.83,15,Gas,IL,In-Store,400.63,1,0
493,37.01,14,Gas,TX,Online,47.58,8,0
494,154.00,22,Travel,WA,Online,165.47,4,1
495,135.88,8,Grocery,TX,In-Store,147.49,6,0
496,189.63,9,Restaurants,WA,In-Store,213.67,5,0
